cat_num,term,bracketed,field,number,title,faculty,description,prerequisites,notes,meetings,building,room
0001,FALL,0,OEB,363,"Plant Diversity and Evolution",55e827dc1724c8b7d5c2a3f17c2fb816,,,,,,
0001,SPRING,0,OEB,363,"Plant Diversity and Evolution",55e827dc1724c8b7d5c2a3f17c2fb816,,,,,,
0002,FALL,0,OEB,364,"Ecological Physiology of Microbes",6f29a00838283af9e76aed74318a992a,,,,,,
0002,SPRING,0,OEB,364,"Ecological Physiology of Microbes",6f29a00838283af9e76aed74318a992a,,,,,,
0003,FALL,0,OEB,365,"Evolution of Microbes",e250e55f1c85612a2deb6f12ce99f216,,,,,,
0003,SPRING,0,OEB,365,"Evolution of Microbes",e250e55f1c85612a2deb6f12ce99f216,,,,,,
0004,FALL,0,OEB,366,"Evolution, Ecology, and Fungi",92bf392fb2c4554e75b618f46df64864,,,,,,
0004,SPRING,0,OEB,366,"Evolution, Ecology, and Fungi",92bf392fb2c4554e75b618f46df64864,,,,,,
0009,FALL,0,GIKUYU,A,"Elementary Gikuyu",8991604883a4ca2601298f8ea013b389,"Gikuyu is a Bantu language spoken by Kenya's most populous ethnic group. The Gikuyu are among Africa's most recognized peoples because of the Mau Mau freedom fighters who were mainly Gikuyu.",,"The course is designed primarily for students who have no prior knowledge of Gikuyu; however, students with minimal knowledge of the language may also register for the course. Not open to auditors.","Hours to be arranged",,
0009,SPRING,0,GIKUYU,A,"Elementary Gikuyu",8991604883a4ca2601298f8ea013b389,"Gikuyu is a Bantu language spoken by Kenya's most populous ethnic group. The Gikuyu are among Africa's most recognized peoples because of the Mau Mau freedom fighters who were mainly Gikuyu.",,"The course is designed primarily for students who have no prior knowledge of Gikuyu; however, students with minimal knowledge of the language may also register for the course. Not open to auditors.","Hours to be arranged",,
0010,FALL,0,GIKUYU,B,"Intermediate Gikuyu",8991604883a4ca2601298f8ea013b389,"Continuation of Gikuyu A. Gikuyu is a Bantu language spoken by Kenya's most populous ethnic group. The Gikuyu are among Africa's most recognized peoples because of the Mau Mau freedom fighters who were mainly Gikuyu.","Gikuyu A or the equivalent of one year's study in Gikuyu.","Not open to auditors.","Hours to be arranged",,
0010,SPRING,0,GIKUYU,B,"Intermediate Gikuyu",8991604883a4ca2601298f8ea013b389,"Continuation of Gikuyu A. Gikuyu is a Bantu language spoken by Kenya's most populous ethnic group. The Gikuyu are among Africa's most recognized peoples because of the Mau Mau freedom fighters who were mainly Gikuyu.","Gikuyu A or the equivalent of one year's study in Gikuyu.","Not open to auditors.","Hours to be arranged",,
0017,FALL,0,GIKUYU,101ar,"Reading in Gikuyu",8991604883a4ca2601298f8ea013b389,"Advanced reading in Gikuyu.","Gikuyu B or equivalent.","Not open to auditors.","Hours to be arranged",,
0018,SPRING,0,GIKUYU,101br,"Reading in Gikuyu II",8991604883a4ca2601298f8ea013b389,"Advanced reading in Gikuyu II.","Gikuyu 101ar or equivalent.","Not open to auditors.","Hours to be arranged",,
0023,FALL,0,TWI,A,"Elementary Twi",8991604883a4ca2601298f8ea013b389,"Twi is one of the regional languages of the Akan speaking peoples of Ghana, constituting the largest ethnic group in Ghana. Twi is fast becoming the lingua franca of the country. This course aims to help students acquire the Twi language at the basic or elementary level.",,"The course is designed primarily for students who have no prior knowledge of Twi; however, students with minimal knowledge of the language may also register for the course. Not open to auditors.","Hours to be arranged.",,
0023,SPRING,0,TWI,A,"Elementary Twi",8991604883a4ca2601298f8ea013b389,"Twi is one of the regional languages of the Akan speaking peoples of Ghana, constituting the largest ethnic group in Ghana. Twi is fast becoming the lingua franca of the country. This course aims to help students acquire the Twi language at the basic or elementary level.",,"The course is designed primarily for students who have no prior knowledge of Twi; however, students with minimal knowledge of the language may also register for the course. Not open to auditors.","Hours to be arranged.",,
